% Point Number, Decimal Latitude, Decimal Longitude
 277, 55.4187, -9.8845
 278, 55.3921, -9.9146
 279, 55.3354, -9.9649
 280, 55.2969, -9.9979
 281, 55.2521, -10.0230
 282, 55.1687, -10.0674
 283, 55.1526, -10.0813
 284, 55.0854, -10.1273
 285, 55.0410, -10.1646
 286, 55.0021, -10.1871
 287, 54.9448, -10.2479
 288, 54.9187, -10.2909
 289, 54.8855, -10.3313
 290, 54.8446, -10.4146
 291, 54.8354, -10.4405
 292, 54.7770, -10.4979
 293, 54.7521, -10.5099
 294, 54.6879, -10.5813
 295, 54.6687, -10.6131
 296, 54.6236, -10.6646
 297, 54.5969, -10.7479
 298, 54.5854, -10.8003
 299, 54.5641, -10.8313
 300, 54.5244, -10.9146
 301, 54.5027, -10.9979
 302, 54.5021, -11.0051
 303, 54.4793, -11.0813
 304, 54.4328, -11.1646
 305, 54.4187, -11.2323
 306, 54.4099, -11.2479
 307, 54.3515, -11.3313
 308, 54.3354, -11.3384
 309, 54.2609, -11.4146
 310, 54.2521, -11.4439
 311, 54.2225, -11.4979
 312, 54.1902, -11.5813
 313, 54.1701, -11.6646
 314, 54.1687, -11.6682
 315, 54.1067, -11.7479
 316, 54.0874, -11.8313
 317, 54.0854, -11.8385
 318, 54.0326, -11.9146
 319, 54.0229, -11.9979
 320, 54.0143, -12.0813
 321, 54.0096, -12.1646
 322, 54.0041, -12.2479
 323, 54.0021, -12.2511
 324, 53.9349, -12.3313
 325, 53.9397, -12.4146
 326, 53.9436, -12.4979
 327, 53.9352, -12.5813
 328, 53.9271, -12.6646
 329, 53.9326, -12.7479
 330, 53.9347, -12.8313
 331, 53.9341, -12.9146
 332, 53.9340, -12.9979
 333, 53.9328, -13.0813
 334, 53.9304, -13.1646
 335, 53.9271, -13.2479
 336, 53.9187, -13.2974
 337, 53.9011, -13.3313
 338, 53.8802, -13.4146
 339, 53.8594, -13.4979
 340, 53.8472, -13.5813
 341, 53.8354, -13.6368
 342, 53.8191, -13.6646
 343, 53.7783, -13.7479
 344, 53.7547, -13.8313
 345, 53.7521, -13.8376
 346, 53.7094, -13.9146
 347, 53.6892, -13.9979
 348, 53.6687, -14.0496
 349, 53.6433, -14.0813
 350, 53.6056, -14.1646
 351, 53.5854, -14.1946
 352, 53.5369, -14.2479
 353, 53.5021, -14.2695
 354, 53.4320, -14.3313
 355, 53.4187, -14.3618
 356, 53.3803, -14.4146
 357, 53.3397, -14.4979
 358, 53.3354, -14.5023
 359, 53.2521, -14.5813
 360, 53.2521, -14.5813
 361, 53.1687, -14.6272
 362, 53.1063, -14.6646
 363, 53.0854, -14.6734
 364, 53.0021, -14.6890
 365, 52.9187, -14.7077
 366, 52.8354, -14.7067
 367, 52.7521, -14.7149
 368, 52.6687, -14.7345
 369, 52.6225, -14.7479
 370, 52.5854, -14.7547
 371, 52.5021, -14.7563
 372, 52.4187, -14.7669
 373, 52.3354, -14.7767
 374, 52.2521, -14.7677
 375, 52.1687, -14.7529
 376, 52.0858, -14.8313
 377, 52.0854, -14.8315
 378, 52.0021, -14.8508
 379, 51.9257, -14.8313
 380, 51.9187, -14.8285
 381, 51.8354, -14.8074
 382, 51.7521, -14.7712
 383, 51.7104, -14.7479
 384, 51.6687, -14.7135
 385, 51.6176, -14.6646
 386, 51.5854, -14.6121
 387, 51.5623, -14.5813
 388, 51.5021, -14.5156
 389, 51.4187, -14.5001
 390, 51.4169, -14.4979
 391, 51.3752, -14.4146
 392, 51.3506, -14.3313
 393, 51.3354, -14.2836
 394, 51.3248, -14.2479
 395, 51.3140, -14.1646
 396, 51.3235, -14.0813
 397, 51.3354, -14.0616
 398, 51.3728, -13.9979
 399, 51.4187, -13.9695
 400, 51.5021, -13.9162
 401, 51.5041, -13.9146
 402, 51.5854, -13.8612
 403, 51.6418, -13.8313
 404, 51.6687, -13.8180
 405, 51.7443, -13.7479
 406, 51.7521, -13.7411
 407, 51.8354, -13.6705
 408, 51.8412, -13.6646
 409, 51.9187, -13.6054
 410, 51.9442, -13.5813
 411, 52.0021, -13.5487
 412, 52.0646, -13.4979
 413, 52.0854, -13.4727
 414, 52.1687, -13.4146
 415, 52.1687, -13.4146
 416, 52.2521, -13.3536
 417, 52.2841, -13.3313
 418, 52.3354, -13.2786
 419, 52.3678, -13.2479
 420, 52.4187, -13.1888
 421, 52.4476, -13.1646
 422, 52.5021, -13.1174
 423, 52.5513, -13.0813
 424, 52.5854, -13.0486
 425, 52.6303, -12.9979
 426, 52.6687, -12.9312
 427, 52.6774, -12.9146
 428, 52.7068, -12.8313
 429, 52.7196, -12.7479
 430, 52.7082, -12.6646
 431, 52.6896, -12.5813
 432, 52.6687, -12.5496
 433, 52.6303, -12.4979
 434, 52.5854, -12.4464
 435, 52.5467, -12.4146
 436, 52.5021, -12.3862
 437, 52.4556, -12.3313
 438, 52.4187, -12.2944
 439, 52.3943, -12.2479
 440, 52.3723, -12.1646
 441, 52.3434, -12.0813
 442, 52.3354, -12.0688
 443, 52.2521, -12.0155
 444, 52.2372, -11.9979
 445, 52.2104, -11.9146
 446, 52.1687, -11.8863
 447, 52.1049, -11.8313
 448, 52.0854, -11.8162
 449, 52.0037, -11.7479
 450, 52.0021, -11.7469
 451, 51.9998, -11.7479
 452, 51.9187, -11.8001
 453, 51.8354, -11.7691
 454, 51.7683, -11.7479
 455, 51.7521, -11.7387
 456, 51.6687, -11.6658
 457, 51.6667, -11.6646
 458, 51.5854, -11.6210
 459, 51.5140, -11.5813
 460, 51.5021, -11.5751
 461, 51.4812, -11.5813
 462, 51.4187, -11.5949
 463, 51.3875, -11.5813
 464, 51.3354, -11.5560
 465, 51.2521, -11.5283
 466, 51.1687, -11.5233
 467, 51.1551, -11.4979
 468, 51.0854, -11.4243
 469, 51.0373, -11.4146
 470, 51.0021, -11.4028
 471, 50.9712, -11.3313
 472, 50.9556, -11.2479
 473, 50.9187, -11.1984
 474, 50.8674, -11.2479
 475, 50.8354, -11.3077
 476, 50.7939, -11.2479
 477, 50.7521, -11.2085
 478, 50.7090, -11.1646
 479, 50.6687, -11.1178
 480, 50.6269, -11.0813
 481, 50.6022, -10.9979
 482, 50.5854, -10.9844
 483, 50.5021, -10.9732
 484, 50.4187, -10.9975
 485, 50.4175, -10.9979
 486, 50.3354, -11.0209
 487, 50.2666, -11.0813
 488, 50.2521, -11.0993
 489, 50.1687, -11.1365
 490, 50.0854, -11.1598
 491, 50.0021, -11.1626
 492, 49.9187, -11.1542
 493, 49.9083, -11.1646
 494, 49.8354, -11.2286
 495, 49.8238, -11.2479
 496, 49.8354, -11.3088
 497, 49.8391, -11.3313
 498, 49.8354, -11.3354
 499, 49.7521, -11.3997
 500, 49.6687, -11.3653
 501, 49.5854, -11.3910
 502, 49.5378, -11.4146
 503, 49.5021, -11.4301
 504, 49.4187, -11.4403
 505, 49.3354, -11.4576
 506, 49.2521, -11.4720
 507, 49.1687, -11.4246
 508, 49.1628, -11.4146
 509, 49.1255, -11.3313
 510, 49.0854, -11.2892
 511, 49.0439, -11.2479
 512, 49.0472, -11.1646
 513, 49.0021, -11.0865
 514, 48.9920, -11.0813
 515, 49.0021, -11.0700
 516, 49.0289, -10.9979
 517, 49.0021, -10.9666
 518, 48.9187, -10.9610
 519, 48.8524, -10.9146
 520, 48.8900, -10.8313
 521, 48.8849, -10.7479
 522, 48.8598, -10.6646
 523, 48.8566, -10.5813
 524, 48.8354, -10.5280
 525, 48.8009, -10.4979
 526, 48.7521, -10.4790
 527, 48.7201, -10.4979
 528, 48.6687, -10.5151
 529, 48.6510, -10.4979
 530, 48.6687, -10.4593
 531, 48.6981, -10.4146
 532, 48.6687, -10.3803
 533, 48.6529, -10.3313
 534, 48.6424, -10.2479
 535, 48.6486, -10.1646
 536, 48.6687, -10.1246
 537, 48.7240, -10.0813
 538, 48.7031, -9.9979
 539, 48.7027, -9.9146
 540, 48.6687, -9.8766
 541, 48.5854, -9.8407
 542, 48.5021, -9.8384
 543, 48.4894, -9.8313
 544, 48.4713, -9.7479
 545, 48.4187, -9.6848
 546, 48.4042, -9.6646
 547, 48.3354, -9.5941
 548, 48.2653, -9.6646
 549, 48.2521, -9.6910
 550, 48.2233, -9.6646
 551, 48.1687, -9.6007
 552, 48.1593, -9.5813
 553, 48.1457, -9.4979
 554, 48.1626, -9.4146
 555, 48.1687, -9.3997
